"period","config","comparison","n_crossings"
"daily","rectangular_nrd0","0.5 vs 0.75",5
"daily","rectangular_nrd0","0.75 vs 0.975",24
"daily","rectangular_SJ","0.025 vs 0.25",6
"daily","rectangular_SJ","0.25 vs 0.5",6
"daily","rectangular_ucv","0.5 vs 0.75",5
"daily","rectangular_ucv","0.75 vs 0.975",24
"daily","epanechnikov_nrd0","0.5 vs 0.75",5
"daily","epanechnikov_SJ","0.25 vs 0.5",8
"daily","epanechnikov_ucv","0.5 vs 0.75",5
"daily","triangular_nrd0","0.5 vs 0.75",3
"daily","triangular_ucv","0.5 vs 0.75",3
"daily","gaussian_nrd0","0.5 vs 0.75",58
"daily","gaussian_nrd0","0.75 vs 0.975",129
"daily","gaussian_SJ","0.25 vs 0.5",8
"daily","gaussian_SJ","0.5 vs 0.75",9
"daily","gaussian_SJ","0.75 vs 0.975",21
"daily","gaussian_ucv","0.5 vs 0.75",58
"daily","gaussian_ucv","0.75 vs 0.975",129
"weekly","rectangular_nrd0","0.25 vs 0.5",1
"weekly","rectangular_nrd0","0.5 vs 0.75",14
"weekly","rectangular_nrd0","0.75 vs 0.975",8
"weekly","rectangular_SJ","0.75 vs 0.975",6
"weekly","rectangular_ucv","0.25 vs 0.5",1
"weekly","rectangular_ucv","0.5 vs 0.75",14
"weekly","rectangular_ucv","0.75 vs 0.975",8
"weekly","epanechnikov_nrd0","0.75 vs 0.975",8
"weekly","epanechnikov_SJ","0.5 vs 0.75",2
"weekly","epanechnikov_SJ","0.75 vs 0.975",3
"weekly","epanechnikov_ucv","0.75 vs 0.975",8
"weekly","biweight_nrd0","0.5 vs 0.75",1
"weekly","biweight_nrd0","0.75 vs 0.975",7
"weekly","biweight_SJ","0.25 vs 0.5",1
"weekly","biweight_SJ","0.5 vs 0.75",1
"weekly","biweight_SJ","0.75 vs 0.975",2
"weekly","biweight_ucv","0.5 vs 0.75",1
"weekly","biweight_ucv","0.75 vs 0.975",7
"weekly","triangular_nrd0","0.75 vs 0.975",7
"weekly","triangular_SJ","0.5 vs 0.75",2
"weekly","triangular_SJ","0.75 vs 0.975",3
"weekly","triangular_ucv","0.75 vs 0.975",7
"weekly","gaussian_nrd0","0.75 vs 0.975",4
"weekly","gaussian_SJ","0.5 vs 0.75",12
"weekly","gaussian_SJ","0.75 vs 0.975",29
"weekly","gaussian_ucv","0.75 vs 0.975",4
"monthly","rectangular_nrd0","0.5 vs 0.75",2
"monthly","rectangular_nrd0","0.75 vs 0.975",4
"monthly","rectangular_SJ","0.5 vs 0.75",2
"monthly","rectangular_SJ","0.75 vs 0.975",6
"monthly","rectangular_ucv","0.5 vs 0.75",2
"monthly","rectangular_ucv","0.75 vs 0.975",4
"monthly","epanechnikov_nrd0","0.25 vs 0.5",1
"monthly","epanechnikov_nrd0","0.5 vs 0.75",2
"monthly","epanechnikov_nrd0","0.75 vs 0.975",4
"monthly","epanechnikov_SJ","0.5 vs 0.75",3
"monthly","epanechnikov_SJ","0.75 vs 0.975",3
"monthly","epanechnikov_ucv","0.5 vs 0.75",2
"monthly","epanechnikov_ucv","0.75 vs 0.975",4
"monthly","biweight_nrd0","0.5 vs 0.75",2
"monthly","biweight_nrd0","0.75 vs 0.975",3
"monthly","biweight_SJ","0.5 vs 0.75",2
"monthly","biweight_SJ","0.75 vs 0.975",1
"monthly","biweight_ucv","0.5 vs 0.75",2
"monthly","biweight_ucv","0.75 vs 0.975",3
"monthly","triangular_nrd0","0.25 vs 0.5",1
"monthly","triangular_nrd0","0.5 vs 0.75",3
"monthly","triangular_nrd0","0.75 vs 0.975",3
"monthly","triangular_SJ","0.5 vs 0.75",3
"monthly","triangular_SJ","0.75 vs 0.975",2
"monthly","triangular_ucv","0.25 vs 0.5",1
"monthly","triangular_ucv","0.5 vs 0.75",2
"monthly","triangular_ucv","0.75 vs 0.975",2
"yearly","rectangular_nrd0","0.025 vs 0.25",3
"yearly","rectangular_nrd0","0.25 vs 0.5",1
"yearly","rectangular_nrd0","0.75 vs 0.975",7
"yearly","rectangular_SJ","0.025 vs 0.25",2
"yearly","rectangular_SJ","0.75 vs 0.975",4
"yearly","rectangular_ucv","0.025 vs 0.25",3
"yearly","rectangular_ucv","0.25 vs 0.5",1
"yearly","rectangular_ucv","0.75 vs 0.975",7
"yearly","epanechnikov_nrd0","0.025 vs 0.25",4
"yearly","epanechnikov_nrd0","0.5 vs 0.75",3
"yearly","epanechnikov_nrd0","0.75 vs 0.975",1
"yearly","epanechnikov_SJ","0.025 vs 0.25",4
"yearly","epanechnikov_SJ","0.25 vs 0.5",1
"yearly","epanechnikov_SJ","0.75 vs 0.975",1
"yearly","epanechnikov_ucv","0.025 vs 0.25",4
"yearly","epanechnikov_ucv","0.5 vs 0.75",3
"yearly","epanechnikov_ucv","0.75 vs 0.975",1
"yearly","biweight_nrd0","0.025 vs 0.25",1
"yearly","biweight_nrd0","0.5 vs 0.75",2
"yearly","biweight_SJ","0.025 vs 0.25",5
"yearly","biweight_SJ","0.75 vs 0.975",3
"yearly","biweight_ucv","0.025 vs 0.25",1
"yearly","biweight_ucv","0.5 vs 0.75",2
"yearly","triangular_nrd0","0.025 vs 0.25",5
"yearly","triangular_nrd0","0.5 vs 0.75",2
"yearly","triangular_nrd0","0.75 vs 0.975",3
"yearly","triangular_SJ","0.025 vs 0.25",4
"yearly","triangular_SJ","0.75 vs 0.975",2
"yearly","triangular_ucv","0.025 vs 0.25",5
"yearly","triangular_ucv","0.5 vs 0.75",2
"yearly","triangular_ucv","0.75 vs 0.975",3
"yearly","gaussian_nrd0","0.025 vs 0.25",2
"yearly","gaussian_nrd0","0.25 vs 0.5",2
"yearly","gaussian_nrd0","0.75 vs 0.975",3
"yearly","gaussian_SJ","0.025 vs 0.25",2
"yearly","gaussian_SJ","0.25 vs 0.5",1
"yearly","gaussian_SJ","0.75 vs 0.975",1
"yearly","gaussian_ucv","0.025 vs 0.25",2
"yearly","gaussian_ucv","0.25 vs 0.5",2
"yearly","gaussian_ucv","0.75 vs 0.975",3
